timestamp,event_type,position_id,event_name,strike,side,order_type,tokens,entry_price,exit_price,invested_usd,realized_pnl_usd,roi_pct,entry_edge_pct,entry_reason,close_reason,runtime_min
2026-03-01T03:10:18.177237+00:00,OPEN,22c6031c,Bitcoin above ___ on March 1?,72000,YES,TAKER_FAK,564.00,0.0150,,8.46,,,4.23,edge=4.2% w=0.020 iv=98.0%,,
2026-03-01T03:12:52.043592+00:00,OPEN,bcf1a6bf,Bitcoin above ___ on March 1?,72000,YES,TAKER_FAK,792.19,0.0150,,11.88,,,4.35,edge=4.4% w=0.021 iv=98.0%,,
2026-03-01T03:13:18.905962+00:00,OPEN,0fdad7b0,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,69.89,0.1620,,11.32,,,1.65,edge=1.6% w=0.010 iv=57.4%,,
2026-03-01T03:13:20.362565+00:00,OPEN,a415eccd,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,68.34,0.1620,,11.07,,,1.61,edge=1.6% w=0.010 iv=57.3%,,
2026-03-01T03:13:32.472693+00:00,OPEN,bcf7c29d,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,65.40,0.1620,,10.59,,,1.60,edge=1.6% w=0.010 iv=57.2%,,
2026-03-01T03:13:36.516789+00:00,OPEN,06c3ea01,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,67.73,0.1620,,10.97,,,1.66,edge=1.7% w=0.010 iv=57.2%,,
2026-03-01T03:13:43.599543+00:00,OPEN,48f24551,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,56.05,0.1620,,9.08,,,1.37,edge=1.4% w=0.008 iv=57.1%,,
2026-03-01T03:13:54.279623+00:00,OPEN,3a579257,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,56.02,0.1620,,9.08,,,1.37,edge=1.4% w=0.008 iv=57.1%,,
2026-03-01T03:28:55.338913+00:00,OPEN,213bb1df,Bitcoin above ___ on March 1?,70000,YES,TAKER_FAK,67.35,0.0850,,5.72,,,4.30,edge=4.3% w=0.006 iv=79.4%,,
2026-03-01T05:24:16.031202+00:00,OPEN,3fd1c5d6,Bitcoin above ___ on March 1?,70000,YES,TAKER_FAK,353.36,0.0640,,22.62,,,5.59,edge=5.6% w=0.023 iv=85.7%,,
2026-03-01T05:33:53.247096+00:00,OPEN,3a069ad7,Bitcoin above ___ on March 1?,70000,YES,TAKER_FAK,298.04,0.0670,,19.97,,,5.06,edge=5.1% w=0.020 iv=85.7%,,
2026-03-01T05:50:49.394817+00:00,OPEN,1e1c05e0,Bitcoin above ___ on March 1?,70000,YES,TAKER_FAK,297.96,0.0610,,18.18,,,4.52,edge=4.5% w=0.018 iv=85.7%,,
2026-03-01T06:10:56.643151+00:00,OPEN,50260fdf,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,348.67,0.0360,,12.55,,,2.71,edge=2.7% w=0.013 iv=85.7%,,
2026-03-01T06:10:57.650523+00:00,OPEN,28615702,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,308.17,0.0360,,11.09,,,2.42,edge=2.4% w=0.011 iv=85.7%,,
2026-03-01T06:11:18.167881+00:00,OPEN,44f3557e,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,299.87,0.0360,,10.80,,,2.36,edge=2.4% w=0.011 iv=85.7%,,
2026-03-01T07:14:30.709858+00:00,OPEN,dbd7083a,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,49.12,0.1140,,5.60,,,1.59,edge=1.6% w=0.006 iv=57.6%,,
2026-03-01T07:14:32.971479+00:00,OPEN,a97f3df3,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,52.35,0.1140,,5.97,,,1.68,edge=1.7% w=0.006 iv=57.6%,,
2026-03-01T07:14:32.972403+00:00,OPEN,6b0cd35c,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,54.78,0.1140,,6.24,,,1.73,edge=1.7% w=0.006 iv=57.6%,,
2026-03-01T07:15:19.011536+00:00,CLOSE,dbd7083a,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,49.12,0.1140,0.1200,5.60,0.2947,5.26,1.59,edge=1.6% w=0.006 iv=57.6%,TP:tp_hit_liquid,0.8
2026-03-01T07:15:19.011979+00:00,CLOSE,a97f3df3,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,52.35,0.1140,0.1200,5.97,0.3141,5.26,1.68,edge=1.7% w=0.006 iv=57.6%,TP:tp_hit_liquid,0.8
2026-03-01T07:15:19.012340+00:00,CLOSE,6b0cd35c,Bitcoin above ___ on March 6?,72000,YES,MAKER_POST_ONLY,54.78,0.1140,0.1200,6.24,0.3287,5.26,1.73,edge=1.7% w=0.006 iv=57.6%,TP:tp_hit_liquid,0.8
2026-03-01T08:09:36.589801+00:00,OPEN,0d85ce59,Bitcoin above ___ on March 1?,68000,YES,MAKER_POST_ONLY,47.57,0.1910,,9.09,,,1.62,edge=1.6% w=0.009 iv=52.9%,,
2026-03-01T08:09:43.721545+00:00,OPEN,1cc06ecd,Bitcoin above ___ on March 1?,68000,YES,MAKER_POST_ONLY,44.53,0.1910,,8.50,,,1.53,edge=1.5% w=0.008 iv=52.9%,,
2026-03-01T08:12:08.169868+00:00,CLOSE,50260fdf,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,348.67,0.0360,0.0380,12.55,0.6973,5.56,2.71,edge=2.7% w=0.013 iv=85.7%,TP:tp_hit_liquid,121.2
2026-03-01T08:12:08.170434+00:00,CLOSE,28615702,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,308.17,0.0360,0.0380,11.09,0.6163,5.56,2.42,edge=2.4% w=0.011 iv=85.7%,TP:tp_hit_liquid,121.2
2026-03-01T08:12:08.170910+00:00,CLOSE,44f3557e,Bitcoin above ___ on March 1?,70000,YES,MAKER_POST_ONLY,299.87,0.0360,0.0380,10.80,0.5997,5.56,2.36,edge=2.4% w=0.011 iv=85.7%,TP:tp_hit_liquid,120.8
2026-03-01T08:17:42.866800+00:00,CLOSE,0d85ce59,Bitcoin above ___ on March 1?,68000,YES,MAKER_POST_ONLY,47.57,0.1910,0.2370,9.09,2.1884,24.08,1.62,edge=1.6% w=0.009 iv=52.9%,TP:tp_hit_liquid,8.1
2026-03-01T08:17:42.867346+00:00,CLOSE,1cc06ecd,Bitcoin above ___ on March 1?,68000,YES,MAKER_POST_ONLY,44.53,0.1910,0.2370,8.50,2.0482,24.08,1.53,edge=1.5% w=0.008 iv=52.9%,TP:tp_hit_liquid,8.0
